,overall,verified,reviewTime,reviewerID,asin,reviewerName,reviewText,Color:,Size:
687,5,True,2017-05-06,AI4KO5XDRKDFR,B0058YEJ5K,Ms. Trainer,Arrived in time. Fit as exoected. They take some breaking in but I wore them 2 days in a row for more than five hours per day., Cool Grey / Volt - Wolf Grey - Pure Platinum, 9.5 D Wide
688,5,True,2017-05-05,A24DSR6Y3A08QM,B0058YEJ5K,Luiza A.,I've been using these to exercise and they are nice a roomy and allow my feet to breath. Also love the colors., Cool Grey/Pure Platinum/White/Volt, 8.5 B(M) US
689,5,True,2017-05-03,A1E4Y7BABMEA03,B0058YEJ5K,KV,Comfortable from the start and very light., Black/White/Anthracite/Stealth, 9.5 B(M) US
690,5,True,2017-05-03,AJDX5KE665V0K,B0058YEJ5K,Msmatt,As expected., Black/White/Anthracite/Stealth, 8.5 B(M) US
691,4,True,2017-05-02,A1SR58S4CXKU5G,B0058YEJ5K,Leslie Marks,"Lightweight, comfortable, supportive. Very happy I bought these shoes for working out.", White/Hyper Pink/Pure Platinum/Wolf Grey, 6.5 B(M) US
692,5,True,2017-05-01,A3D71DQPAAI6O4,B0058YEJ5K,Deanna S. Beres,"I love these and have them in a light blue too. Very light weight, airy, and comfortable.", Pink Blast/Stealth/Hyper Pink/White, 6.5 B(M) US
693,5,True,2017-04-28,AASAT3YLO3WTB,B0058YEJ5K,Rerch,good quality, Black/Wolf Grey/White/Pink, 7.5 B(M) US
694,4,True,2017-04-27,A1RNS06YMZXM0K,B0058YEJ5K,Amazon Customer,Very comfortable sneakers and I also like the way it fits., Cool Grey / Volt - Wolf Grey - Pure Platinum, 7.5 D - Wide
695,4,True,2017-04-27,A21SV1XYXF2GK,B0058YEJ5K,Morgan Slimskey,"Purchased to wear for weightlifting and Zumba. Zumba trial was last night, and they were great! Super comfortable, good ventilation! Not too much padding, very minimalist, which is just what I wanted", Cool Grey / Volt - Wolf Grey - Pure Platinum, 7 D - Wide
696,5,True,2017-04-26,A17DW041T4X7TJ,B0058YEJ5K,Anne M. Guss,Comfortable and lightweight., Black/White/Anthracite/Stealth, 7.5 B(M) US
697,5,True,2017-04-25,A14TS9PCRLLWEG,B0058YEJ5K,Lynda J. Ottey,"I love these shoes my second pair of 40 plus $ shoes and they both have certainly out done the $100 K-swiss that I'm looking to return . The shoes are extremely comfortable, all my clients love them, just wish they came in more colors.", Cool Grey / Volt - Wolf Grey - Pure Platinum, 9 D - Wide
698,4,True,2017-04-24,A2ZMHBMNYFXOX7,B0058YEJ5K,Juliana,"They fit as expected and perfect for training, the shoelaces are a little bit too long. Other than that these shoes are as I expected them !", Black/White/Anthracite/Stealth, 8 B(M) US
699,5,True,2017-04-24,A1K0VEMIB5QF7I,B0058YEJ5K,Amazon Customer,Extremely well fitting and light weight, Grey, 7 B(M) US
700,5,True,2017-04-20,A135KOM855ZA5,B0058YEJ5K,Amazon Customer,Perfect, Black/White/Anthracite/Stealth, 8.5 B(M) US
701,5,True,2017-04-19,A2IAB9QOQH3IA6,B0058YEJ5K,Amazon Customer,Love them, Black/White/Anthracite/Stealth, 9 B(M) US
702,5,False,2017-04-18,A3S1CGGMXE41RR,B0058YEJ5K,AA - Amazon Addicted!!,"I love these shoes and have worn them for a long time. That are comfy, thinner on the top & sole and are very cute!", Black/White/Anthracite/Stealth, 8 B(M) US
703,5,True,2017-04-17,A3B4FM5VE99X4P,B0058YEJ5K,Candace,Fast shipping and turned out as expected. Couldn't be happier., Black/White/Anthracite/Stealth, 8.5 B(M) US
704,5,True,2017-04-15,AKJVCU7H1KDWI,B0058YEJ5K,madison,I have been wearing for a solid week during my work outs & they are great for comfort and they are light weight., black, 6 B(M) US
705,5,True,2017-04-14,AFD4WKNPLPS3I,B0058YEJ5K,Amazon Customer,Love these shoes for circuit training., Black/White/Anthracite/Stealth, 7.5 B(M) US
706,4,True,2017-04-11,A36GUL3Z65YSIP,B0058YEJ5K,J. washington,Super comfortable. I joined Cross Fit and this is the perfect shoe., Black/White/Anthracite/Stealth, 11 B(M) US
707,5,True,2017-04-11,AT72GRKOXVE25,B0058YEJ5K,Cristian Sosa,just do it :), Cool Grey / Volt - Wolf Grey - Pure Platinum, 10 D - Wide
708,5,True,2017-04-10,A2AEJ9NTLWD61V,B0058YEJ5K,Karen Mary Rowe,"Love these, comfortable, light weight, great fit.", Cool Grey/Volt/Pure Platinum, 7.5 B(M) US
709,5,True,2017-04-10,AWEIW3G1E0MKO,B0058YEJ5K,Janie M,I love this show., Cool Grey/Pure Platinum/White/Volt, 9.5 B(M) US
710,4,True,2017-04-10,A2IFCGU2IQ6KAV,B0058YEJ5K,JCSurf,"The shoes are true to size. I am used to wearing running shoes so these have been an adjustment. Overall, the shoe is nice and provides well for my HIIT and Grit classes I take.", Cool Grey/Volt/Pure Platinum, 11 B(M) US
711,5,True,2017-04-08,A2AGT9INDKDK6B,B0058YEJ5K,Amazon Customer,Love them!  I ordered an 8.5 because I usually wear that size but these are a bit big. I wish I ordered an 8. They are really comfortable and I enjoy wearing them., Black/White/Anthracite/Stealth, 8.5 B(M) US
712,4,True,2017-04-05,A2Q6OH5LUQXPFV,B0058YEJ5K,Amazon Customer,Very comfortable., Black/White/Anthracite/Stealth, 10 B(M) US
713,5,True,2017-04-05,ADLAYE3PNYFJM,B0058YEJ5K,Rosi B.,Very nice shoes.  Comfortable., Black/White/Anthracite/Stealth, 9 B(M) US
714,5,True,2017-04-04,AZ7LUSY20ZFSC,B0058YEJ5K,Maria Morales,Very comfortable. I love wearing them., White/Hyper Pink/Pure Platinum/Wolf Grey, 10 B(M) US
715,5,True,2017-04-02,A1L7TD1CZQDK6R,B0058YEJ5K,corinnehoffman,Great fit so comfortable love them!!!!!, Wolf Grey/Platinum/White/Crimson, 9.5 B(M) US
716,4,True,2017-03-30,A3T1O294HJJTUH,B0058YEJ5K,SmartMonkey,A nice lightweight shoe. Not a lot of cushion so I wouldn't run long distances in them., Black/White/Anthracite/Stealth, 9.5 B(M) US
717,5,True,2017-03-29,A3EOYFVP68048C,B0058YEJ5K,Judy,I really love these shoes.  They are attractive and very comfortable.  They work well for my daily workout and fit well., Cool Grey/Volt/Pure Platinum, 7.5 B(M) US
718,2,True,2017-03-26,A2JX7ESVMGXMJY,B0058YEJ5K,Marlex,Comfortable shoe.  First time I've ever bought nikes that feel so large.  It feels about 1/2 size too big.  I bought 7.5.  I normally wear exactly that size and on occasion an 8., Black/Wolf Grey/White/Pink, 10 B(M) US
719,1,True,2017-03-25,A2K5ZBX75J80TX,B0058YEJ5K,Marjorie A. Dunbar,Ordered 9(m) received 9 Wide for the second time. Returned them for the second time., Cool Grey / Volt - Wolf Grey - Pure Platinum, 9 D - Wide
720,5,True,2017-03-24,AY9TXNLYCD9L5,B0058YEJ5K,Amazon Customer,Nice shoes, Black/White/Anthracite/Stealth, 7.5 B(M) US
721,5,True,2017-03-24,A9MOCNHJD03PI,B0058YEJ5K,Anna Smith,"This is my second pair of these shoes.  I love the fit and they provide support for walking.  I like the way the shoes fit around my ankle, as many shoes are uncomfortable because they come up too high in the back.  Try them!", Black/White/Anthracite/Stealth, 9 B(M) US
722,5,True,2017-03-23,AEUUYBIO73RLA,B0058YEJ5K,L. Jones,"There is about a 1/2 inch of extra space from the tip of my big toe to the front of the shoe. That's okay, though. I usually wear socks, so it doesn't feel too big, even if it does make your foot look a bit long.

The colors are vibrant, and the sole has plenty of grip, even on a slippery floor. I wore them for most of the day and they are comfortable.

Overall, I'm very pleased with this shoe.", Cool Grey/Rage Green/Hyper Turquoise, 8.5 B(M) US
723,5,True,2017-03-21,A3A2DRPMDCRFBC,B0058YEJ5K,Michael Carpenter,Got them for my girlfriend. She loves them. Says it's like wearing slippers because they are incredibly light., Racer Blue/Obsidian/Blue Tint, 9 B(M) US
724,4,True,2017-03-20,A140XVPLRQYKYY,B0058YEJ5K,Deambrea,Serves intended purpose, Wolf Grey/Platinum/White/Crimson, 10 B(M) US
725,5,True,2017-03-18,A2KMWD77XBGZ8K,B0058YEJ5K,Bonnie White,They are super comfortable. Loving them., Black/White/Anthracite/Stealth, 8 B(M) US
726,5,True,2017-03-18,A25SOIZ0IZE1YY,B0058YEJ5K,vp22,I have gotten so many compliments on the blue color and look of this shoe.  It is super comfortable.  The grip is wonderful for my indoor gym cross training classes.  I always order a half size larger in Nike brand shoes and thy fit perfectly as I did with this shoe., Racer Blue/Obsidian/Blue Tint, 8 B(M) US
727,3,True,2017-03-17,A1ZR8LQHUOUFJP,B0058YEJ5K,Mammot,"Fit is fine, but not much cushioning in the footbed. The first time wearing them on a long walk I developed a blister on the bottom of my foot.", Wolf Grey/Platinum/White/Crimson, 10 B(M) US
728,4,True,2017-03-15,A2AAABWQUYH26V,B0058YEJ5K,Beth C,"Perfect for the gym, could use a little more support in the toe area but very comfortable and light. Fit true to size.", Grey, 8 B(M) US
729,3,True,2017-03-15,A3LBTMJ453T4W6,B0058YEJ5K,MSM,"Meh, felt very comfortable but provided no support. Seem like a good option for walking around in the summer but not for aerobics or lateral movements", Cool Grey/Volt/Pure Platinum, 7.5 B(M) US
730,5,True,2017-03-15,A2NBGWZH3VC2EW,B0058YEJ5K,Kathy,Love these! Super light and comfortable!, Grey, 8 B(M) US
731,5,True,2017-03-14,A3B5TYITM5FKRO,B0058YEJ5K,Jonika R.,Loved the products and services!!, White/Hyper Pink/Pure Platinum/Wolf Grey, 9.5 B(M) US
732,5,True,2017-03-13,A2O3GSYI4B5Z9H,B0058YEJ5K,Letitia C,It's hard to find a lightweight athletic shoe with a wide toe box. This shoe has that. I am happy with the support for walking and everyday wear. I wouldn't run in them. Now I just have to stock up on as many pair as I can afford before Nike discontinues them :). Don't you hate when that happens?, Grey, 9 B(M) US
733,5,True,2017-03-12,AG1CF6PFNBOQH,B0058YEJ5K,anat,"The shoes are amazing,very comfortable and fit as expected highly recommended. :)", Black/White/Anthracite/Stealth, 7.5 B(M) US
734,5,True,2017-03-08,A1LLDHUO4OLXYI,B0058YEJ5K,mommyof2,Super comfy!!, Black/White/Anthracite/Stealth, 10 B(M) US
735,4,True,2017-03-08,A37K0VP2H8FKOU,B0058YEJ5K,Amazon Customer,"I needed a wide size, that option was not available. So I went up a half size bigger hoping that would work. It's not quite comfortable but I am  able to wear them. I like the shoes.", White/Hyper Pink/Pure Platinum/Wolf Grey, 9.5 B(M) US
736,4,True,2017-03-08,A37K0VP2H8FKOU,B0058YEJ5K,Amazon Customer,"I needed a wide size, that option was not available. So I went up a half size bigger hoping that would work. It's not quite comfortable but I am  able to wear them. I like the shoes.", Wolf Grey/Platinum/White/Crimson, 9.5 B(M) US
737,5,True,2017-03-06,AZYHPRWLMSY9O,B0058YEJ5K,Dj Tab,Look great, Black/White/Anthracite/Stealth, 8.5 B(M) US
738,5,False,2017-02-26,A1GZ9Z5M3Q4FDK,B0058YEJ5K,Holly S.,"I love these shoes. I am rather basic when it comes to Nikes, I don't need all the cool colors, so these look amazing and feel amazing, like they were made for my feet. I definitely suggest purchasing them.", black, 6 B(M) US
739,4,True,2017-02-24,A3F5015D4BBJM9,B0058YEJ5K,Hedy,Cute and comfy. Sleek design. My only complaint is the fly wire loosens up and my shoe sometimes slips off my heels during heavy sled runs. I have two pairs of this style., Black/White/Anthracite/Stealth, 7 B(M) US
740,5,True,2017-02-24,ABKS5CX4GI72B,B0058YEJ5K,Blue,I love them!, Black/White/Anthracite/Stealth, 7 B(M) US
741,4,True,2017-02-21,A2A1WECA7Y5UPN,B0058YEJ5K,Derek,normally Nike fits small so we go up a half size. These actually fit to my wife's appropriate size. So be ware when you order., Black/Hyper Violet/Total Crimson/White, 8 B(M) US
742,5,True,2017-02-21,A3PRZ9ESGB2KPU,B0058YEJ5K,kwa,love these shoes. use them to workout inside and to work, Black/White/Anthracite/Stealth, 9 B(M) US
743,3,True,2017-02-16,A3JGWZXFBDENRB,B0058YEJ5K,Amazon Customer,"I was shocked at how small these shoes were, not true at all to size, and I own multiple shoes in this brand. The quality could have been better, in my opinion -- very little support from the upper.", Grey, 7 B(M) US
744,5,True,2017-02-15,A6BHQ6FNIRI1K,B0058YEJ5K,Donna Omar,"Great shoes - was looking for something to replace my barefeet so I can wear orthotics while kickboxing. These are light weight, hug my feet comfortably and have a thinner upper so I can still feel the bag when I kick AND they have good lateral stability. My feet are on the narrow side so it's hard to find shoes that are snug enough. These are perfect. Oh, and they are really cute too.", White/Hyper Pink/Pure Platinum/Wolf Grey, 7.5 B(M) US
745,5,True,2017-02-13,A1EE1EP2G0HKQ,B0058YEJ5K,Deborah Bodiford,They fit perfectly. These shoes are great for walking - so very comfortable. Love them., Black/White/Anthracite/Stealth, 9.5 B(M) US
746,5,True,2017-02-12,A2DDYH2QTGQ6FZ,B0058YEJ5K,gmathil,Good fit and comfy.  Not so cushiony so definetly better for training and not for running or aerobics. Bought size 8 which is my usual size., Black/White/Anthracite/Stealth, 8 B(M) US
747,5,True,2017-02-11,A2T47RI1J0I7JM,B0058YEJ5K,Brooke R,Light weight and comfortable, Black/White/Anthracite/Stealth, 6.5 B(M) US
748,4,True,2017-02-08,ABWHIDHK8JSRD,B0058YEJ5K,ddsmith8,"I was wearing running shoes for cardio dance classes at the gym because I thought they would be sufficient. After getting 2 blood blisters I did some research and found out cross trainers would be more appropriate which is how I ended up buying this pair. They are slightly longer in look then I  would like but I think that is typical of cross trainers. Also, the lacing is done in a way that allows you to tie too tightly if you're not careful (my toes were tingling during one particular work out when I had done this). Other then that I am very happy with the shoes.", White/Hyper Pink/Pure Platinum/Wolf Grey, 8 B(M) US
749,4,True,2017-02-06,ADUWEIS0CHJV8,B0058YEJ5K,Julie W.,"Nikes usually run small and I'm a 7.5, so I ordered these in an 8 and they were actually very roomy.  I love them but they are definitely bright orange/coral and not bright crimson like the description said.  I thought they'd be more red in hue to wear with my Ohio State clothes, but instead I use them for running.", Bright Mango/Crimson/White/Blue, 8 B(M) US
750,2,True,2017-02-02,A2JD3RN8JCO62Z,B0058YEJ5K,Amazon Customer,Color was not at all what i expected.  It was more orange then red.  Not sure that I am going to keep them., Wolf Grey/Platinum/White/Crimson, 9.5 B(M) US
751,5,True,2017-02-01,A3BN0MRGRDKM0J,B0058YEJ5K,j.morris,Perfect fit! Brand new in new box completely perfect condition and on sale!!! Awesome! Highly reccomend! Super cute shoes., Black/White/Anthracite/Stealth, 6.5 B(M) US
752,3,True,2017-01-31,AODFGQL9CC7G7,B0058YEJ5K,ZS87,Squeaky, Racer Blue/Obsidian/Blue Tint, 7.5 B(M) US
753,5,True,2017-01-25,A13P82MG3XFWV1,B0058YEJ5K,Amazon Customer,"If you wear Nike on the regular, then you should pretty much know your size. I wear only 7's in Nike, and it fit just as expected. I have many of the trail runner generations, and love them all. they're my go to sneakers for the gym use, or casual wear. I have a pair I used mostly for casual wear that have lasted about 5 years. Another pair that I used for cross fit/outdoor runs that lasted a little over a year (very vigorous daily use). All in all, these shoes are great for me. They're lightweight, and comfortable.", Grey, 7 B(M) US
754,5,True,2017-01-22,A8I41EKH4UI1Y,B0058YEJ5K,SLM,Great arch support and cushion both for the heel and ball of the foot. Great aerobic shoe!, White/Hyper Pink/Pure Platinum/Wolf Grey, 9.5 B(M) US
755,5,True,2017-01-20,ADJRDVMENHF0J,B0058YEJ5K,Skiman,"Good quality, perfect fit.  It's a Nike!", Grey, 9 B(M) US
756,5,True,2017-01-18,A3QKKFB26AZSMG,B0058YEJ5K,Susana Ibarra,"Size 8, but purchased 8.5 for a more comfortable feel, considering shrinkage as a result of perspiration.", Cool Grey/Pure Platinum/White/Volt, 8.5 B(M) US
757,2,True,2017-01-18,A1IE5BGNY2JTF4,B0058YEJ5K,Debra A.,"I've always gotten this size in Nike shoes with similar description, but these are too long- at least an inch and 1/2.", Black/White/Anthracite/Stealth, 8.5 B(M) US
758,5,True,2017-01-18,A1F6LKEC43RSZM,B0058YEJ5K,Tara S.,"Very lightweight. Normal Nike quality. Pink is very bright , colors look great together.", Black/Wolf Grey/White/Pink, 7 B(M) US
759,5,True,2017-01-18,A3BZKR332FQEP8,B0058YEJ5K,Amazon Customer,Love them!!, Black, 7.5 B(M) US
760,4,True,2017-01-18,ARY4E7Y947T9P,B0058YEJ5K,Kindle Customer,"Arrived on time. I probably should have gone with a 7.5 instead of an 8 because they do seem a little big, but if I wear thick socks they are fine. Also, they can sometimes make a very annoying squeaky noise when I run on certain surfaces so I'm trying to get them worn in. Over-all, I am satisfied with my purchase!", Black/White/Anthracite/Stealth, 8 B(M) US
761,1,True,2017-01-15,A8DR2Z71DERN0,B0058YEJ5K,Dawn Rosa,After less than a week the sole ripped off on the outside of the shoe, Cool Grey/Volt/Pure Platinum, 7.5 B(M) US
762,4,True,2017-01-13,A3RP2S6J4VUA7D,B0058YEJ5K,Amazon Customer,The lines don't really show up unless there is a bright light on them. But other than that they are perfect. They are very true to size and are comfortable the first time you put them on., Black/Red Bronze/White, 9.5 B(M) US
763,5,True,2017-01-12,A34NDY5V71MVJ6,B0058YEJ5K,Bpiq,"I love these!  I ordered an 8.5 which is my normal shoe size and they fit great.  I used them for my strength training class and they performed well, and they are sooooo pretty!  Comfortable, low profile and stylish!", Black/Green Glow-blue Glow-white, 8.5 B(M) US
764,5,True,2017-01-12,A2AXI9WHORKU6X,B0058YEJ5K,J. Spatsie,Cute and comfortable, Black/White/Anthracite/Stealth, 8 B(M) US
765,5,True,2017-01-10,AOYR5V85UYA8O,B0058YEJ5K,Amazon Customer,Very comfortable., Cool Grey/Rage Green/Hyper Turquoise, 7.5 B(M) US
766,5,True,2017-01-07,A38Z4KJHHVY0AU,B0058YEJ5K,Amazon Customer,"Sizing was perfect as ordered. Quality appears good, still new, not too much more to report.", Black/Red Bronze/White, 7.5 B(M) US
767,5,True,2017-01-07,A1WK3VVSUB1FY7,B0058YEJ5K,STACEY,"Size really depends on the brand.  I wear a 6.5 in Nike and they fit me perfectly.  These shoes are comfortable, they wrap around my feet like a bandage but do not restrict movement.", Black/Red Bronze/White, 6.5 B(M) US
768,4,True,2017-01-06,A3KWGJH9EBRLE8,B0058YEJ5K,Amazon Customer,I was really excited when I opened the box to see the color is exactly like the image shows! I have the Nike flex tr 5 and used the same size to order these. They are a little bigger than expected but still comfortable., Black/Red Bronze/White, 7 B(M) US
769,1,True,2017-01-04,A199ICSPL9EXJ5,B0058YEJ5K,KaDecha Richardson,"Returning these. the pictures on here make the shoe appear all black with a touch of pink in the check. however, the whole shoe has pink coming through. I was looking for an all black shoe. I ordered the Nike Women's Flex Supreme TR3 instead and love them!!!", Black/Wolf Grey/White/Pink, 9.5 B(M) US
770,5,True,2017-01-04,A11D8CLU9H24YK,B0058YEJ5K,Wendy L. Brady,"wow these are the most comfortable, light weight shoes. I love them!!", Black, 7.5 B(M) US
771,5,True,2017-01-01,A3A90ECS7ALV4T,B0058YEJ5K,marysaw,love the lightweight and the fit, Black/Red Bronze/White, 7 B(M) US
772,5,True,2017-01-01,A1LLX8PMQSAUHT,B0058YEJ5K,teco,"fits perfect, my daughter loves them", Black/White/Anthracite/Stealth, 9.5 B(M) US
773,5,True,2016-12-31,A62VUJ6MUZU6M,B0058YEJ5K,sultari,"Finally, after trying about 10 pairs of Nike's, these were a perfect fit.  They are light and very comfortable, I really just forget about my feet when I'm wearing them.", Black/White/Anthracite/Stealth, 8 B(M) US
774,5,True,2016-12-29,A37RTXMIC21YOH,B0058YEJ5K,R Hyden,Came quick and my daughter LOVES them, Black/White/Anthracite/Stealth, 8 B(M) US
775,5,True,2016-12-29,A2JMHGCCBZPYP4,B0058YEJ5K,Amazon Customer,Great Gift - she loved it!  It's a nice shoe!, Black/Red Bronze/White, 9 B(M) US
776,5,True,2016-12-28,A29KOO6WMPLGOQ,B0058YEJ5K,Amazon Customer,Perfect!, Black/White/Anthracite/Stealth, 8 B(M) US
777,5,True,2016-12-28,A3LWEZO2OWFJX5,B0058YEJ5K,B.G. - Iliinois,"Bought these for my daughter and she loves them.  She tried them on at a retail store a couple months prior, so I knew her exact size.", Black/Wolf Grey/White/Pink, 8.5 B(M) US
778,5,True,2016-12-27,A1IR4GED6BXNSR,B0058YEJ5K,M. Ridgell,Great product and fast shipping!, Black/White/Anthracite/Stealth, 9.5 B(M) US
779,2,True,2016-12-25,A9MNC403IAKFS,B0058YEJ5K,caridad Hidalgo,"Tried one in the store and bought it online but it was a different  kind of shoe . Too big , different fit !", Cool Grey/Pure Platinum/White/Volt, 10 B(M) US
780,5,True,2016-12-23,ASEXDKPTYY14D,B0058YEJ5K,Tomoe,"I had the older generation of this shoe that survived 2 or 3 mud runs and of all my aches and pains, my feet was not one of them. This is because of this shoe. Nike really dropped the mic with this.", Cool Grey/Rage Green/Hyper Turquoise, 10 B(M) US
781,5,True,2016-12-22,AEHOCC2S72M38,B0058YEJ5K,Amazon Customer,This pair fits perfect.....the first pair was wrong size in the right box.....definitely order again!!!!!, Cool Grey/Volt/Pure Platinum, 12 B(M) US
782,2,True,2016-12-16,A1R7S4XNZLSLBH,B0058YEJ5K,Wollstonecraft,I returned these as they were not true to size. They ran large., Grey, 8 B(M) US
783,1,True,2016-12-15,A3PTZ7IHGU9BA8,B0058YEJ5K,Amazon Customer,wrong shoes, Black/Red Bronze/White, 7 B(M) US
784,5,True,2016-12-12,AZ7P3NH09B66S,B0058YEJ5K,Cotton,There very nice, Cool Grey / Volt - Wolf Grey - Pure Platinum, 8.5 D - Wide
785,5,True,2016-12-12,A37OEAOYVLKYC,B0058YEJ5K,Lisa (Hartford CT),"I actually have 3 pairs of these trainers.  They are very comfortable, there is a neoprene sleeve that goes around your ankle that makes them the most comfortable for me compared to normal athletic shoes.  They run a little narrow - for me this is perfect, but you may want to round up on the size or try on in the store first if your feet are on the wider side.", Black/White/Anthracite/Stealth, 7.5 B(M) US
786,4,True,2016-12-08,A1QGX3IWOHIZYA,B0058YEJ5K,Jenny Jones,Just too big otherwise I liked them!, Black/Red Bronze/White, 7 B(M) US
787,4,True,2016-12-04,A1DF4MM3K93J0W,B0058YEJ5K,Andrea Valdez,Comfortable shoe.  I would buy again, White/Hyper Pink/Pure Platinum/Wolf Grey, 6.5 B(M) US
788,4,True,2016-12-02,A2VMKNYTJ973O3,B0058YEJ5K,Amazon Customer,Light weight and comfortable., Cool Grey / Volt - Wolf Grey - Pure Platinum, 9.5 D Wide
789,5,True,2016-12-02,A1OZMZ4FLR5UPW,B0058YEJ5K,Deborah M. Klein,Fit my size perfectly and very comfortable!, Black/White/Anthracite/Stealth, 9 B(M) US
790,5,True,2016-12-01,A3G2IEH99QRNYP,B0058YEJ5K,Heather,Love these shoes! Needed new running shoes and these are perfect. Light weight and fit great!, Cool Grey/Pure Platinum/White/Volt, 8.5 B(M) US
791,5,True,2016-11-28,A9E07GS8ZV3ON,B0058YEJ5K,Kindle Customer,Purchased these for our teenage daughter. She loves them. For both casual wear and sports., Black/White/Anthracite/Stealth, 8.5 B(M) US
792,5,True,2016-11-27,ACDIEMICS7XGC,B0058YEJ5K,Shopping Queen,"Love these shoes, I have worn them all day and found them really comfortable with no aching feet at the end of the day. Fantastic colour and true to size. I also bought  Nike Women's Flex Supreme Tr 3 Pnk Pw/Mtllc Slvr/Cl Gry/White Training Shoe and these shoes are slightly more comfortable than those even though they look very similar.", Pink Blast/Stealth/Hyper Pink/White, 10 B(M) US
793,5,True,2016-11-23,A1223JGQ0GRSPT,B0058YEJ5K,CStaples,Super light weight comfortable! Kick box in these and run too. Good support!, Black/White/Anthracite/Stealth, 8 B(M) US
794,4,False,2016-11-21,AUDAQGK21DH1Z,B0058YEJ5K,Yusra,"i bought a pair from DSW for 50$ and they are very comfortable but i bought a size 6.5 when I normally where a size 7.  and even the 6.5 feels a little roomy.  I have wide flat feet btw.  im not sure if I will keep them even though i love their look and comfort.  I've been having feet problems while taking a gym class and I think they won't give me enough support when running.  they're great for wearing at home or gym and doing exercises in one place- extremely light weight and flexible, but i don't know if they'll last long if you use them everywhere else.  :(  i really like them but i cant just buy 2 different shoes.
also, i really like the strings inside the lining on the side of the shoes to adjust and make the shoe fit snug. it makes me feel secure :D", Cool Grey/Rage Green/Hyper Turquoise, 6.5 B(M) US
795,4,True,2016-11-16,ATSUXY7ASCGPY,B0058YEJ5K,Lara Miller,Not a lot of arch support but really lightweight., Cool Grey/Pure Platinum/White/Volt, 8.5 B(M) US
796,5,True,2016-11-16,AY6GA8WZR3JKV,B0058YEJ5K,Amazon Customer,EXCELLENT, Black/White/Anthracite/Stealth, 8.5 B(M) US
797,3,True,2016-11-14,A1NBH6OGAD3BSK,B0058YEJ5K,Khs,Good for non-aerobic workout. Mesh was very comfortable but no support for lateral movrment., Grey, 8 B(M) US
798,5,True,2016-11-11,A3DIMXA53RL7P,B0058YEJ5K,B Savage,Favorite Nikes ever. I already owned this style and was ready for a new pair so I went with these. Love the color and they fit great., Hyper Jade/Mtlc Silver/Hyper Turq, 7.5 B(M) US
799,4,True,2016-11-11,A2RI4IA5982B8I,B0058YEJ5K,Wejdan Turkistani,Light-weight comfy shoes., Cool Grey/Pure Platinum/White/Volt, 9.5 B(M) US
800,5,True,2016-11-09,A1EWNWTJPKEO4Z,B0058YEJ5K,Amazon Customer,Tried a lot of shoes for cross training and these were the best!, Black/White/Anthracite/Stealth, 7 B(M) US
801,4,True,2016-11-08,AXKDU1CHG7Y4,B0058YEJ5K,Lauren Nielsen,"Wish they had a little more support/cushion, but I love everything else about them!", White/Hyper Pink/Pure Platinum/Wolf Grey, 6.5 B(M) US
802,5,True,2016-11-07,A2FCRNY9C46Q4H,B0058YEJ5K,Darlene Christ,These are as far as comfort goes the most comfortable pair of sneakers I have I suffer from sciatica pain that goes into my feet I have difficulty finding the proper support and comfort in shoes I would recommend these most definitely., Black/White/Anthracite/Stealth, 10 B(M) US
803,3,True,2016-11-06,AJWSFNS4F87M6,B0058YEJ5K,Yraida V.,After my purchased I found out they are overpriced. They feel good but I will not recommended if you need Wide fit., White/Hyper Pink/Pure Platinum/Wolf Grey, 8.5 B(M) US
804,3,True,2016-10-30,A2KGKIJ528667I,B0058YEJ5K,EdTheTalkingHorse,"I bought a pair of these in my size, but they are too small. I can get my feet in them but not comfortably. It's too bad because I can tell the soles are comfortable. Of course, now I've work them to work so I can't return them.", Cool Grey/Pure Platinum/White/Volt, 10 B(M) US
805,5,True,2016-10-29,A2CP5A30XO5JUO,B0058YEJ5K,Aaron O.,Love them!  Very comfortable and great for weight training!, Wolf Grey/Black-pink Blast/White, 9 B(M) US
806,3,True,2016-10-26,A6IYTCB1PQ6NR,B0058YEJ5K,TAL,Took other reviewers advice and went up half size and it was too large. I thought this was a more sock-like fit but it had a tongue that came up high on my ankle not at all sock like. Nice looking and very light weight with a rounded square toe that left plenty of room front foot and toes. These just weren't what I was looking for., Black/White/Anthracite/Stealth, 8.5 B(M) US
807,5,True,2016-10-25,A3CXL2P49AQQRH,B0058YEJ5K,Sofiya kantor,Really comfortable and very cute., black, 6 B(M) US
808,5,False,2016-10-24,A1TEBP1FCCJW5V,B0058YEJ5K,Amazon Customer,These shoes are great.  This is the second pair that I have purchased and I love them., Racer Blue/Obsidian/Blue Tint, 7 B(M) US
809,5,True,2016-10-24,AD7ZF3D5JH9HL,B0058YEJ5K,Vickie Hairston,Fit to size. Comfortable, Ocean Fog/Blue Grey/Mango, 7 B(M) US
810,5,True,2016-10-19,A2HL6AXS8GU07F,B0058YEJ5K,Amazon Customer,Picky daughter actually loves them., Black/White/Anthracite/Stealth, 6.5 B(M) US
811,5,True,2016-10-17,A3GJ2XW7W3VC5L,B0058YEJ5K,Meredith P,Fit like a dream! Great for cross-training/HITT videos I do everyday. Great for walking too. Look amazing!, Cool Grey/Pure Platinum/White/Volt, 9.5 B(M) US
